2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  2593 system       20   0 5.4G  92M  81M S  0.0   1.2   0:02.46 com.vivo.epm
  2475 system       20   0 5.6G 109M  97M S  0.0   1.4   0:07.14 com.vivo.smartmultiwindow
  2474 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  2434 system       20   0 5.0G  84M  76M S  0.0   1.1   0:01.81 com.vivo.fingerprintui:fingerprintui_public
  2390 system       20   0 5.8G 132M 101M S  0.0   1.7   0:33.81 com.vivo.pem
  2313 webview_zygote 20 0 1.8G  31M  29M S  0.0   0.4   0:00.17 webview_zygote
  2294 u0_a194      20   0 5.6G 148M 133M S  0.0   1.9   0:03.85 com.vivo.livewallpaper.ocean
  2240 system       20   0 5.3G  97M  85M S  0.0   1.2   0:01.71 com.vivo.vms
  2198 system       20   0 5.4G  89M  80M S  0.0   1.1   0:04.78 com.vivo.fingerprintui
  2098 u0_a142      20   0 5.6G 100M  87M S  0.0   1.3   0:09.03 com.bbk.iqoo.logsystem
  2010 u0_a62       20   0 7.4G 313M 238M S  0.0   4.1   4:29.72 com.android.systemui
  1966 bluetooth    20   0 6.0G 107M  99M S  0.0   1.4   0:08.50 com.android.bluetooth
  1933 system       20   0 7.0G 143M 109M S  0.0   1.8   0:23.42 com.vivo.abe
  1888 system       20   0 5.2G  82M  75M S  0.0   1.0   0:00.48 com.vivo.faceui
  1882 system       20   0 5.6G  98M  85M S  0.0   1.3   0:46.80 com.vivo.sps
  1881 wifi         20   0 2.0G  12M  11M S  0.0   0.1   0:02.72 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
  1876 root         10 -10    0    0    0 S  0.0   0.0   0:59.57 [rx_thread]
  1875 root         10 -10    0    0    0 S  0.0   0.0   1:30.64 [hif_thread]
  1874 root         10 -10    0    0    0 S  0.0   0.0   1:15.67 [main_thread]
  1858 wifi         20   0 2.0G 6.7M 6.4M S  0.0   0.0   0:03.81 android.hardware.wifi@1.0-service-lazy
  1628 root         RT   0    0    0    0 S  0.0   0.0   0:00.07 [tcpc_event_type]
  1621 root         20   0    0    0    0 I  0.0   0.0   0:12.68 [kworker/u16:21]
  1456 radio        20   0 3.3G  14M  13M S  0.0   0.1   0:07.95 mtkfusionrild -l libmtk-ril.so
  1382 radio        20   0  39M 836K 836K S  0.0   0.0   0:04.05 gsm0710muxd -s /dev/ttyC0 -f 512 -n 8 -m basic
  1380 shell        20   0 2.1G 3.3M 3.3M S  0.0   0.0   0:00.41 emdlogger1
  1347 root         20   0    0    0    0 S  0.0   0.0   0:00.03 [rpmb_gp_Dci]
  1255 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1208 root         30  10    0    0    0 S  0.0   0.0   1:08.87 [zram0_wbd]
  1205 root         20   0    0    0    0 S  0.0   0.0   0:00.74 [file-storage]
  1204 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wlan_rst_thread]
  1188 root         20   0    0    0    0 S  0.0   0.0   0:00.14 [mtk_wland_threa]
  1187 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx15_worker]
  1186 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx14_worker]
  1185 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx13_worker]
  1184 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx12_worker]
  1183 root         RT   0    0    0    0 S  0.0   0.0   0:00.24 [irq/468-gps_dma]
  1182 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/467-gps_mb1]
  1172 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx11_worker]
  1171 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/466-gps_nd1]
  1170 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/465-gps_da1]
  1169 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/464-gps_mb0]
  1167 root         RT   0    0    0    0 S  0.0   0.0   0:00.05 [irq/463-gps_nd0]
  1163 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx10_worker]
  1161 root         RT   0    0    0    0 S  0.0   0.0   0:00.09 [irq/462-gps_da0]
  1158 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/27-gf]
