2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 22178 u0_a222      20   0 5.2G  84M  72M S  0.0   1.1   0:01.28 com.vivo.widgetweather
 21556 system       20   0 5.4G 112M  98M S  0.0   1.4   0:02.37 com.vivo.aiengine:persona
 21194 u0_a214      20   0 5.1G  83M  76M S  0.0   1.1   0:00.78 com.vivo.game:reserve
 20983 u0_a174      20   0 5.2G 107M 100M S  0.0   1.4   0:00.81 com.google.android.gms.ui
 20896 system       20   0 5.1G  77M  69M S  0.0   1.0   0:00.24 com.android.keychain
 20575 u0_a130      20   0 5.3G 103M  88M S  0.0   1.3   0:03.73 com.vivo.weather.provider
 19663 u0_a264      20   0 6.0G 135M 118M S  0.0   1.7   0:04.59 com.xunmeng.pinduoduo:lifecycle
 19544 root         20   0    0    0    0 I  0.0   0.0   0:01.86 [kworker/2:1]
 18987 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 18855 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/7:2]
 17104 root          0 -20    0    0    0 I  0.0   0.0   0:00.82 [kworker/1:2H]
 16340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fs_suspend_syss]
 15390 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 15358 u0_a106      20   0 5.4G 130M 124M S  0.0   1.7   0:03.72 com.vivo.secime.service
 15291 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 13443 u0_a148      20   0 5.3G  84M  75M S  0.0   1.1   0:00.51 com.vivo.familycare.local
 11229 u0_a116      20   0 5.1G  68M  61M S  0.0   0.8   0:00.25 com.tencent.soter.soterserver
 10137 u0_a145      20   0  37G 1.8M 1.8M S  0.0   0.0   0:00.32 libweexjsb.so 114 115 1 /data/user/0/com.vivo.space/app_crash/crash_dump.log
 10082 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  9985 u0_i9001     20   0  10G 110M 100M S  0.0   1.4   0:03.01 com.vivo.browser:vivo_sandboxed_process0:org.chromium.content.app.VivoSandboxedProcessService0:0
  9930 u0_a177      20   0 1.4G  76M  66M S  0.0   1.0   0:00.55 com.google.android.webview:webview_service
  9739 u0_a145      20   0 6.0G 114M 107M S  0.0   1.5   0:05.63 com.vivo.space
  8879 system       20   0 2.0G 3.2M 2.5M S  0.0   0.0   0:00.08 wifi_dump
  8875 system       20   0 2.0G 3.3M 2.6M S  0.0   0.0   0:00.08 bt_dump
  8771 u0_a264      20   0 6.3G 143M 114M S  0.0   1.9   0:54.84 com.xunmeng.pinduoduo:titan
  8753 u0_a365      20   0 7.1G 158M 117M S  0.0   2.1   0:31.17 com.tencent.mm
  8699 u0_a365      20   0 7.3G 149M 112M S  0.0   1.9   0:37.34 com.tencent.mm:push
  8441 system       20   0 5.1G  78M  73M S  0.0   1.0   0:00.57 com.vivo.contentcatcher
  8298 system       20   0 5.1G  90M  81M S  0.0   1.1   0:03.37 com.vivo.contentcatcher:persist
  8118 system       20   0 5.0G  75M  71M S  0.0   0.9   0:00.19 com.vivo.audiofx
  7630 u0_a173      20   0 5.8G 116M  96M S  0.0   1.5   0:07.06 com.android.vending
  7565 u0_a67       20   0 5.5G 153M 137M S  0.0   2.0   0:20.32 com.android.permissioncontroller
  7269 system       20   0 5.0G  72M  67M S  0.0   0.9   0:00.16 com.iqoo.powersaving:daemon
  7218 bluetooth    20   0 5.5G 100M  88M S  0.0   1.3   0:03.09 com.android.vivo.tws.vivotws
  7139 system       20   0 5.2G  85M  78M S  0.0   1.1   0:00.28 com.vivo.voicewakeup
  6649 u0_a88       20   0 5.4G  97M  86M S  0.0   1.2   0:04.92 com.vivo.safecenter
  6629 u0_a103      20   0 6.1G 118M  96M S  0.0   1.5   0:19.36 com.iqoo.secure:remote
  6341 u0_a83       20   0 5.9G 215M 185M S  0.0   2.8   0:21.67 com.sohu.inputmethod.sogou.vivo
  6089 radio        20   0 5.4G 103M  92M S  0.0   1.3   0:02.95 com.vivo.devicereg
  5626 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  5385 u0_a71       16  -4 7.6G 185M 165M S  0.0   2.4   0:22.30 com.vivo.browser
